id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric,0.05,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020s,nostalgic,0.80,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010s,aggressive,0.15,0.35
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020s,peaceful,0.85,0.06
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,euphoric,0.02,0.28
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,42,2010s,dreamy,0.92,0.04
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,51,2000s,nostalgic,0.40,0.15
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,69,2010s,dreamy,0.60,0.10
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,62,2020s,peaceful,0.82,0.07
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,73,2020s,euphoric,0.10,0.18
11,Late Night Flex,D. Ramos,hip-hop,intense,0.85,140,0.72,0.84,0.08,80,2020s,aggressive,0.04,0.32
12,Golden Hour,Kaia Lyn,r&b,relaxed,0.50,92,0.78,0.70,0.55,74,2020s,nostalgic,0.06,0.11
13,Barn Lights,Tanner Ridge,country,happy,0.65,108,0.80,0.68,0.75,60,2010s,nostalgic,0.12,0.22
14,Quiet Strings,Elara Voss,classical,relaxed,0.20,66,0.55,0.30,0.95,38,2000s,peaceful,0.95,0.05
15,Bassline Fury,PRYZM,edm,intense,0.95,145,0.70,0.92,0.03,82,2020s,euphoric,0.75,0.40
16,Sol y Sombra,Camila Fuentes,latin,happy,0.78,104,0.85,0.88,0.42,70,2010s,euphoric,0.08,0.25
17,Iron Tide,Shattered Sun,metal,intense,0.97,170,0.35,0.55,0.04,55,2010s,aggressive,0.20,0.45
18,Timber Creek,Wren Hollow,folk,relaxed,0.32,82,0.68,0.45,0.90,44,2000s,peaceful,0.30,0.14
19,Velvet Mood,Kaia Lyn,r&b,moody,0.55,88,0.62,0.72,0.50,67,2020s,dreamy,0.07,0.09
20,Pixel Dreamz,PRYZM,edm,happy,0.88,128,0.82,0.90,0.06,76,2020s,euphoric,0.70,0.30
